Invoice Number,Invoice Date,Customer Name,Customer GSTIN,Place of Supply,HSN Code,Product Name,Original Price,Adjusted Price,Original Quantity,Adjusted Quantity,Unit,Line Total,Taxable Value,CGST Rate,CGST Amount,SGST Rate,SGST Amount,Total Tax,Invoice Total,Adjustment Applied
"INV/2025-26/0017","18-01-2026","TEST_Refresh","URP","27-Maharashtra","7323","Test Product","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0016","18-01-2026","TEST_Transaction","URP","27-Maharashtra","7323","Test Product 1","100","100","2.000","2.000","PCS","200.00","200.00","0.00","0.00","0.00","0.00","0.00","200.00","No"
"INV/2025-26/0015","18-01-2026","TEST_Concurrent_3","URP","27-Maharashtra","7323","Test Product 3","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0014","18-01-2026","TEST_Concurrent_1","URP","27-Maharashtra","7323","Test Product 1","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0013","18-01-2026","TEST_Concurrent_2","URP","27-Maharashtra","7323","Test Product 2","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0012","18-01-2026","TEST_Concurrent_0","URP","27-Maharashtra","7323","Test Product 0","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0011","18-01-2026","TEST_Date_Format","URP","27-Maharashtra","7323","Test Product","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0010","18-01-2026","TEST_Invoice_Format","URP","27-Maharashtra","7323","Test Product","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0009","18-01-2026","Concurrent Test 2","URP","27-Maharashtra","7323","Test Product 2","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0008","18-01-2026","Concurrent Test 3","URP","27-Maharashtra","7323","Test Product 3","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0007","18-01-2026","Concurrent Test 1","URP","27-Maharashtra","7323","Test Product 1","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
"INV/2025-26/0006","18-01-2026","Test Invoice Format","URP","27-Maharashtra","7323","Test Product","100","100","5.000","5.000","PCS","500.00","500.00","0.00","0.00","0.00","0.00","0.00","500.00","No"
"INV/2025-26/0005","18-01-2026","Test Customer 3","URP","27-Maharashtra","7323","Test Product 3","100","100","3.000","3.000","PCS","300.00","300.00","0.00","0.00","0.00","0.00","0.00","300.00","No"
"INV/2025-26/0004","18-01-2026","Test Customer 3","URP","27-Maharashtra","7323","Test Product 3","100","100","3.000","3.000","PCS","300.00","300.00","0.00","0.00","0.00","0.00","0.00","300.00","No"
"INV/2025-26/0003","18-01-2026","Test Customer 3","URP","27-Maharashtra","7323","Test Product 3","100","100","3.000","3.000","PCS","300.00","300.00","0.00","0.00","0.00","0.00","0.00","300.00","No"
"INV/2025-26/0002","18-01-2026","Test Customer 2","URP","27-Maharashtra","7323","Test Product 2","100","100","2.000","2.000","PCS","200.00","200.00","0.00","0.00","0.00","0.00","0.00","200.00","No"
"INV/2025-26/0001","18-01-2026","Test Customer","URP","27-Maharashtra","7323","Test Product","100","100","1.000","1.000","PCS","100.00","100.00","0.00","0.00","0.00","0.00","0.00","100.00","No"
